词语,频次
金融,24
量化,23
创新,20
发展,18
投资,18
科技,15
俞洋,15
市场,14
责任,12
华鑫,10
证券,10
行业,9
机构,9
担当,8
资本,8
驱动,7
经济,6
推动,6
服务,6
2025,5
高质量,5
金牛,5
策略,5
交易,5
投资者,5
数据,4
提供,4
坚守,4
核心,4
转型,4
实体,4
中国,3
专业,3
合规,3
系统化,3
生态,3
优化,3
守护,3
合法权益,3
风险,3
能力,3
五篇,3
文章,3
公司,3
体系,3
证券报,2
11,2
大会,2
颁奖典礼,2
党委书记,2
董事长,2
行稳,2
致远,2
西岸,2
上海,2
本次,2
活动,2
标杆,2
成果,2
更是,2
发挥,2
活力,2
动能,2
全球,2
运行,2
依托,2
持续,2
提质,2
价值,2
管理,2
智能,2
平台,2
理性,2
模型,2
突破,2
降低,2
实践,2
机制,2
定价,2
配置,2
渠道,2
需求,2
控制,2
做好,2
绿色,2
普惠,2
数字,2
使命,2
为民,2
路径,2
支撑,2
升级,2
战略,2
引领,2
构建,2
执行,2
链条,2
风控,2
29,1
A04,1
兼顾,1
本报记者,1
林倩,1
28,1
主办,1
集团,1
联合,1
承办,1
深圳,1
研究院,1
独家,1
学术,1
支持,1
徐汇,1
致辞,1
已站,1
历史,1
起点,1
精神,1
融入,1
血脉,1
刻入,1
基因,1
证券业,1
组成部分,1
揭晓,1
优秀,1
创新能力,1
展示,1
经营,1
激励,1
期待,1
获奖,1
作用,1
带动,1
同行,1
不越,1
缺位,1
姿态,1
展现,1
蓬勃发展,1
放眼,1
已有,1
半个,1
世纪,1
演进,1
理论,1
探索,1
规模化,1
程度,1
影响,1
我国,1
起步,1
较晚,1
庞大,1
日益完善,1
监管,1
环境,1
展现出,1
蓬勃,1
资正,1
迎来,1
筑基,1
特征,1
黄金,1
发展期,1
体现,1
技术创新,1
正筑牢,1
内核,1
场景,1
深度,1
融合,1
人工智能,1
计算,1
前沿技术,1
经验,1
试验田,1
转化,1
核心理念,1
科学,1
迭代,1
传统,1
边界,1
强化,1
投资决策,1
逻辑性,1
客观性,1
非理性,1
冲击,1
诠释,1
长期投资,1
深刻,1
内涵,1
激活,1
效率,1
引擎,1
工具,1
拓宽,1
精准,1
捕捉,1
偏差,1
提升,1
流动性,1
波动,1
完善,1
价格,1
发现,1
助力,1
高效,1
资源配置,1
包括,1
在内,1
金融机构,1
初心,1
社会,1
正以,1
引导,1
结构,1
肩负,1
资产,1
受托,1
收益,1
场向,1
主导,1
践行,1
信义,1
义务,1
证监会,1
发布,1
实施,1
意见,1
提出,1
功能,1
着力,1
养老,1
高度,1
契合,1
数字化,1
搭建,1
金融服务,1
桥梁,1
落实,1
参与者,1
证券公司,1
推动者,1
页践,1
行者,1
国有,1
券商,1
始终,1
恪守,1
报国,1
聚焦,1
共建,1
担责三大,1
三位一体,1
坚实,1
背景,1
早已,1
置于,1
位置,1
2017,1
前瞻性,1
确立,1
业务,1
坚定,1
走出,1
一条,1
异化,1
竞争,1
特色,1
投研,1
双轮,1
打造,1
数智化,1
夯实,1
治理,1
算法,1
研发,1
算力,1
基础,1
覆盖,1
开发,1
分析,1
技术,1
致力于,1
一体化,1
介绍,1
产品设计,1
托管,1
专业化,1
综合,1
解决方案,1
单点,1
迈向,1
赋能,1
不断完善,1
贯穿,1
事前,1
事中,1
事后,1
三层,1
解释,1
可追踪,1
管控,1
努力实现,1
向善,1
目标,1
展望未来,1
契机,1
扛起,1
规范,1
增效,1
更好,1
高质,1
国际,1
金融中心,1
资管,1
中心,1
建设,1
贡献,1
智慧,1
注入,1
力量,1
