词语,情感得分
发展,0.8450704225352111
经济,0.5925925925925926
实体,0.6206896551724135
金融,0.9508196721311476
高质量,0.6328602767293197
数字,0.7945205479452055
效应,0.6666666666666666
产业结构,0.6135452820936967
控制,0.5326633165829147
水平,0.4250614250614253
地区,0.6444444444444445
it,0.5262327818078083
空间,0.5348837209302327
研究,0.8121546961325968
检验,0.6086956521739134
产业,0.5714285714285716
升级,0.6517412935323385
作用,0.6095238095238094
高级化,0.5
推动,0.8
合理化,0.8
企业,0.5752212389380529
技术,0.4561403508771932
创新,0.7777777777777779
省份,0.5
邻近地区,0.7654556753284758
数据,0.6078431372549018
统计,0.8888888888888888
系数,0.5
影响,0.4327731092436976
要素,0.125
赋能,0.7499999999999999
模型,0.8571428571428571
中介,0.5
分析,0.8846153846153847
固定,0.4285714285714288
中西部,0.8
东部,0.4285714285714284
提供,0.4406504065040652
提高,0.5000000000000004
real,0.5
dig,0.5
生产,0.5714285714285716
机制,0.29999999999999993
资源,0.6829268292682924
间接,0.9411764705882353
360,0.42307692307692335
提升,0.7448979591836734
溢出,0.8718105261159055
本文,0.7499999999999999
